Order ID,Date,Status,Fulfilment,Sales Channel,Ship Service Level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,Ship City,Ship State,Ship Postal Code,Ship Country,Promotion IDs,B2B,Fulfilled By,Is Valid Order
407-8154165-8281908,2022-04-01,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET319,SET319-KR-NP-S,Set,S,B09KXV4TTM,Shipped,1,INR,825.0,Ghiraur,Uttar Pradesh,205121.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
402-0408435-6873952,2022-04-01,Cancelled,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-XS,Set,XS,B08XNHXSFZ,Cancelled,0,,,Meerut,Uttar Pradesh,250002.0,IN,,False,,False
408-4894626-2814720,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,J0120,J0120-TP-L,Top,L,B08RYR23RH,Shipped,1,INR,365.0,Gandhinagar,Gujarat,382016.0,IN,,False,,True
407-2187697-4232302,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,MEN5014,MEN5014-KR-S,kurta,S,B08YZ1PTRF,Shipped,1,INR,495.0,Rampur Maniharan,Uttar Pradesh,247451.0,IN,,False,,True
403-5278114-8291564,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET344,SET344-KR-NP-XXXL,Set,3XL,B09QJ3WT3H,Shipped,1,INR,958.0,Proddatur,Andhra Pradesh,516360.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-6145557-8206725,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XXXL,Set,3XL,B08XQBC8FV,Shipped,1,INR,698.0,Hyderabad,Telangana,500035.0,IN,,False,,True
407-2183749-1729964,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,J0006,J0006-SET-L,Ethnic Dress,L,B0894YJNT9,Shipped,1,INR,1249.0,Gaya,Bihar,823001.0,IN,,False,,True
404-2432348-3719510,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-XL,kurta,XL,B077MM3LFJ,Shipped,1,INR,330.0,Hyderabad,Telangana,500072.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
402-7862856-7273100,2022-04-01,Cancelled,Amazon,Amazon.in,Expedited,SET364,SET364-KR-NP-XS,Set,XS,B09QJ4HQK8,Unshipped,1,INR,1138.0,Pune,Maharashtra,411021.0,IN,,False,,False
171-4393434-5317939,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3368,JNE3368-KR-XXL,kurta,XXL,B081WSWWL7,Shipped,1,INR,449.0,New Delhi,Delhi,110092.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
405-3737288-5053124,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET325,SET325-KR-NP-S,Set,S,B09K3KC8TQ,Shipped,1,INR,657.0,Edapally,Kerala,682024.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-5261454-5955555,2022-04-02,Cancelled,Amazon,Amazon.in,Expedited,JNE3784,JNE3784-KR-L,kurta,L,B09K3TM23D,Unshipped,1,INR,452.0,Pune,Maharashtra,411015.0,IN,,False,,False
407-5467171-3174706,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,J0285,J0285-SKD-S,Set,S,B08QGJ32WW,Shipped,1,INR,1450.0,Kasauli,Himachal Pradesh,173202.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-8584438-8570722,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Shipped,1,INR,698.0,Pimpri Chinchwad,Maharashtra,411039.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
408-6024873-3923555,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-XL,Set,XL,B08B3ZCRC5,Shipped,1,INR,730.0,New Delhi,Delhi,110003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-8607822-9673943,2022-04-02,Cancelled,Amazon,Amazon.in,Expedited,JNE3784,JNE3784-KR-L,kurta,L,B09K3TM23D,Unshipped,1,INR,452.0,Pune,Maharashtra,411015.0,IN,,False,,False
404-0323727-3046778,2022-04-02,Cancelled,Merchant,Amazon.in,Standard,J0003,J0003-SET-S,Set,S,B0894X27FC,,0,,,Lucknow,Uttar Pradesh,226021.0,IN,,False,Easy Ship,False
405-1749648-5171511,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET295,SET295-KR-NP-XL,Set,XL,B09PN51JWD,Shipped,1,INR,747.0,Ahmedabad,Gujarat,380022.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
408-1813160-0276368,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET227,SET227-KR-PP-A-XL,Set,XL,B08P1G6BB1,Shipped,1,INR,566.0,Baheri,Uttar Pradesh,243201.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
402-1844780-7880303,2022-04-02,Cancelled,Merchant,Amazon.in,Standard,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,,0,INR,615.24,Durg,Chhattisgarh,491001.0,IN,,False,Easy Ship,False
171-8921036-9887552,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3739,JNE3739-KR-XXL,kurta,XXL,B099NK7Y5P,Shipped,1,INR,453.0,Padappai,Tamil Nadu,601301.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
406-1232432-4795520,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET038,SET038-KR-PP-XS,Set,XS,B07SSF223Y,Shipped,1,INR,594.0,Thiruvananthapuram,Kerala,695586.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
408-5141681-0982725,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,Shipped,1,INR,0.0,Kattanam,Kerala,690501.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811",False,Easy Ship,True
405-6281221-7475567,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET110,SET110-KR-PP-XL,Set,XL,B0822T4YG6,Shipped,1,INR,729.0,Chennai,Tamil Nadu,600088.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-ACZIPIA37BFIY,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
404-4791705-2340307,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,J0134,J0134-SET-M,Set,M,B08N4PV4P8,Shipped,1,INR,693.0,Bangalore,Karnataka,560085.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
403-4549989-6281967,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XXL,Set,XXL,B09RKCWNYM,Shipped,1,INR,791.0,Agra,Uttar Pradesh,282005.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
405-5100180-9043540,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET197,SET197-KR-NP-L,Set,L,B08B3YPD63,Shipped,1,INR,730.0,Mandi,Himachal Pradesh,175001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
403-7384105-9561106,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5013,MEN5013-KR-L,kurta,L,B08YYR9G96,Shipped,1,INR,495.0,Howrah,West Bengal,711102.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
406-2349943-0825141,2022-04-02,Cancelled,Merchant,Amazon.in,Standard,J0002,J0002-SKD-XL,Set,XL,B0894XKSM1,,0,INR,1070.54,Lucknow,Uttar Pradesh,226024.0,IN,,False,Easy Ship,False
407-8500005-4479542,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Shipped,1,INR,715.0,Malappuram,Kerala,679331.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-ACZIPIA37BFIY,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
408-0016039-3813949,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-M,Western Dress,M,B09SDY8DCT,Shipped,1,INR,715.0,Chennai,Tamil Nadu,600099.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,VPC-44571-38707597 Coupon,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
408-5989363-8030700,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,JNE2305,JNE2305-KR-533-M,kurta,M,B07GRSF1FC,Shipped,1,INR,329.0,Bishnupur,Manipur,795126.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
404-4724502-3894710,2022-04-02,Cancelled,Amazon,Amazon.in,Expedited,JNE3799,JNE3799-KR-XXL,kurta,XXL,B09SDYBW5P,Unshipped,1,INR,657.0,Hyderabad,Telangana,500013.0,IN,,False,,False
406-3665627-8872354,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,J0348,J0348-SET-M,Set,M,B09HNS3PZF,Shipped,1,INR,519.0,Gandhi Nagar,Gujarat,382424.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
407-9788432-9540304,2022-04-02,Cancelled,Merchant,Amazon.in,Standard,JNE3510,JNE3510-KR-L,kurta,L,B08WPR181B,,0,INR,403.81,Choondal,Kerala,680502.0,IN,,False,Easy Ship,False
406-2950788-0200343,2022-04-02,Cancelled,Amazon,Amazon.in,Expedited,JNE3484,JNE3484-KR-XL,kurta,XL,B08W9KCKQD,Unshipped,1,INR,299.0,Vasai Virar,Maharashtra,401203.0,IN,,False,,False
406-7075037-5385107,2022-04-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3799,JNE3799-KR-M,kurta,M,B09SDXL8S4,Shipped,1,INR,657.0,"Jodhpur,Osian",Rajasthan,342303.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,VPC-44571-38707597 Coupon,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
404-8054404-7846757,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,SET384,SET384-KR-NP-L,Set,L,B09K3DFH9Z,Shipped,1,INR,699.0,Siliguri,West Bengal,734011.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,True
404-2035977-1221132,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,JNE3563,JNE3563-KR-L,kurta,L,B08MYV5N2Z,Shipped,1,INR,472.0,Lalganj,Uttar Pradesh,276202.0,IN,,False,,True
404-7054326-8860328,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,JNE3563,JNE3563-KR-XXL,kurta,XXL,B08MYRD2QH,Shipped,1,INR,472.0,Aligarh,Uttar Pradesh,202001.0,IN,,False,,True
406-5347400-8816301,2022-04-03,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-L,kurta,L,B082W7GVH7,Shipped,1,INR,364.0,Sarcarsamakulam,Tamil Nadu,641107.0,IN,Duplicated AYTJSBA8ZOP16 1567159860988,False,,True
406-2495183-1581134,2022-04-03,Cancelled,Merchant,Amazon.in,Standard,J0230,J0230-SKD-XL,Set,XL,B08XNJ8P3S,,0,,,Kathgodam,Uttarakhand,263126.0,IN,,False,Easy Ship,False
405-8022187-9451532,2022-04-03,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,NW030,NW030-TP-PJ-L,Set,L,B09G2T795K,Shipped,1,INR,758.0,Surat,Gujarat,395007.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False
408-0207395-1203569,2022-04-03,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3640,JNE3640-TP-N-S,Top,S,B08ZJCN3DP,Shipped,1,INR,499.0,Pimpri Chinchwad,Maharashtra,411044.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,True
406-3458238-3685937,2022-04-03,Shipped,Amazon,Amazon.in,Expedited,SET351,SET351-KR-NP-L,Set,L,B09KXVHNS4,Shipped,1,INR,599.0,Kolkata,West Bengal,700095.0,IN,,False,,True
